time, id1, id2, amount, message
2016-11-02 09:49:29, 52575, 1120, 25.32, Spam 
2016-11-02 09:49:29, 47424, 5995, 19.45, Food for 🌽 😎 
2016-11-02 09:49:29, 76352, 64866, 14.99, Clothing 
2016-11-02 09:49:29, 20449, 1552, 13.48, LoveWins 
2016-11-02 09:49:29, 48676, 19395, 29.94, Jeffs still fat 
2016-11-02 09:49:29, 28505, 45177, 19.01, 🌞🍻🌲🏔🍆 
2016-11-02 09:49:29, 56157, 16725, 4.85, 5 
2016-11-02 09:49:29, 66543, 8306, 10.64, Boooooz 
2016-11-02 09:49:29, 25036, 24692, 20.42, Electric 
2016-11-02 09:49:29, 68290, 66022, 27.90, Getting rolled by the tide 
2016-11-02 09:49:29, 56275, 5637, 42.18, Glaciers are NEAT 
2016-11-02 09:49:29, 23286, 5448, 45.92, 💐🤘🏽 
2016-11-02 09:49:29, 70230, 59830, 19.33, Kale Salad 
2016-11-02 09:49:29, 42016, 9013, 19.19, 1️⃣♥️1️⃣➡️ 
2016-11-02 09:49:29, 50734, 2942, 29.20, 🍫🍫🍫 
2016-11-02 09:49:29, 39909, 3940, 31.20, 💩 
2016-11-02 09:49:29, 63967, 3197, 38.09, Diner 
2016-11-02 09:49:29, 8665, 5524, 15.45, condoms 
2016-11-02 09:49:29, 20762, 13233, 25.06, Titos 
